id,Labour force participation,Wage equality for similar work (survey),Estimated earned income (PPP US$),Legislators senior officials & managers,Professional and technical workers,Literacy rate,Enrollment in primary education,Enrollment in secondary education,Enrollment in tertiary education,Sex ratio at birth (female/male),Healthy life expectancy,Women in parliament,Women in ministerial positions,Years with female head of state(last 50),population,gdp,ppp,age,ppp2,rank,total_country,rank_rate
"China,2006",0.84,0.61,0.66,0.14,0.82,0.91,1,0.97,0.85,0.89,1.03,0.25,0.07,0.03,1315.8,2224.81,7204,23,85,63,115,0.548 
"China,2010",0.88,0.7,0.68,0.2,1.07,0.94,1,0.97,1.04,0.88,1.05,0.27,0.13,0.08,1324.66,2602.57,6200,23,79,61,134,0.455 
"China,2014",0.84,0.63,0.64,0.2,1.08,0.95,1,0,1.13,0.9,1.03,0.31,0.09,0.08,1357.38,4864,10756,25,104,87,142,0.613 
"Uganda,2006",0.92,0.77,0.67,0.16,-,0.75,0.99,0.81,0.62,0.97,1.05,0.42,0.31,0,28.8,8.71,1617,20,40,47,115,0.409 
"Uganda,2010",0.88,0.78,0.69,0.5,0.54,0.81,1.03,0.92,0.8,0.97,1.07,0.46,0.47,0,31.66,11.02,1105,20,33,33,134,0.246 
"Uganda,2014",0.96,0.73,0.4,0.25,0.71,0.78,1.03,0.89,0.27,0.97,1.02,0.54,0.47,0,37.58,15.59,1334,20,37,88,142,0.620 
"Japan,2006",0.66,0.62,0.46,0.11,0.85,1,1,1.01,0.89,0.95,1.08,0.1,0.14,0,128.1,4571.31,30615,29,175,79,115,0.687 
"Japan,2010",0.73,0.61,0.53,0.1,0.87,1,1,1,0.88,0.95,1.07,0.13,0.13,0,127.7,5166.28,29688,29,172,94,134,0.701 
"Japan,2014",0.75,0.68,0.6,0.12,0.87,1,0,1.01,0.9,0.94,1.07,0.09,0.13,0,127.34,4766.66,34882,30,187,104,142,0.732 
"India,2006",0.41,0.62,0.38,0.03,0.27,0.65,0.94,0.79,0.66,0.95,1,0.09,0.04,0.43,1103.4,445.41,3344,20,58,98,115,0.852 
"India,2010",0.42,0.63,0.32,0.03,-,0.68,0.96,0.79,0.7,0.89,1.02,0.12,0.11,0.51,1139.96,817.94,2970,20,54,112,134,0.836 
"India,2014",0.36,0.56,0.24,-,-,0.68,0.97,0.79,0.78,0.89,1.04,0.13,0.1,0.72,1252.14,1458.74,5050,20,71,114,142,0.803 
